Temperature	Pressure	Frequency	Sound Pressure Level
63.9138	0.0222	500	22.8779
63.9138	0.0222	630	22.156
63.9138	0.0222	800	22.2277
63.9138	0.0222	1000	21.9869
63.9138	0.0222	1250	21.9085
63.9138	0.0222	1600	21.8044
63.9138	0.0222	2000	22.217
63.9138	0.0222	2500	22.5474
63.9138	0.0222	3150	22.7968
63.9138	0.0222	4000	23.4149
63.9138	0.0222	5000	24.011
63.9138	0.0222	6300	24.6341
63.9138	0.0222	8000	25.2551
63.9138	0.0222	10000	25.9405
63.9138	0.0222	12500	26.5423
63.9138	0.0222	16000	27.3196
63.9138	0.0222	20000	28.176
63.9138	0.0222	25000	29.0118
63.9138	0.0222	31500	30.0488
63.9138	0.0222	40000	49.4112
63.9138	0.0222	50000	32.5456
63.9138	0.0222	63000	33.9764
63.9138	0.0222	80000	45.6211
63.9091	0.7533	500	26.2091
63.9091	0.7533	630	28.5007
63.9091	0.7533	800	30.8502
63.9091	0.7533	1000	33.5049
63.9091	0.7533	1250	34.6901
63.9091	0.7533	1600	37.4739
63.9091	0.7533	2000	40.0651
63.9091	0.7533	2500	38.5044
63.9091	0.7533	3150	40.798
63.9091	0.7533	4000	43.7908
63.9091	0.7533	5000	45.1113
63.9091	0.7533	6300	46.8297
63.9091	0.7533	8000	48.1396
63.9091	0.7533	10000	50.6629
63.9091	0.7533	12500	53.6418
63.9091	0.7533	16000	57.7168
63.9091	0.7533	20000	62.5837
63.9091	0.7533	25000	66.4223
63.9091	0.7533	31500	69.1965
63.9091	0.7533	40000	66.2918
63.9091	0.7533	50000	59.6852
63.9091	0.7533	63000	58.6077
63.9091	0.7533	80000	65.544
63.716	1.0372	500	27.3487
63.716	1.0372	630	29.3252
63.716	1.0372	800	31.8479
63.716	1.0372	1000	34.4236
63.716	1.0372	1250	36.0852
63.716	1.0372	1600	39.5344
63.716	1.0372	2000	42.0475
63.716	1.0372	2500	40.5966
63.716	1.0372	3150	43.1552
63.716	1.0372	4000	46.5986
63.716	1.0372	5000	47.8602
63.716	1.0372	6300	49.0571
63.716	1.0372	8000	50.0499
63.716	1.0372	10000	51.8244
63.716	1.0372	12500	54.2756
63.716	1.0372	16000	57.8754
63.716	1.0372	20000	63.1243
63.716	1.0372	25000	68.1741
63.716	1.0372	31500	72.0885
63.716	1.0372	40000	70.4705
63.716	1.0372	50000	64.4522
63.716	1.0372	63000	62.1151
63.716	1.0372	80000	67.7494
63.6863	1.817	500	29.2471
63.6863	1.817	630	31.169
63.6863	1.817	800	33.0845
63.6863	1.817	1000	36.1874
63.6863	1.817	1250	38.6623
63.6863	1.817	1600	42.688
63.6863	1.817	2000	45.2458
63.6863	1.817	2500	43.5295
63.6863	1.817	3150	46.7884
63.6863	1.817	4000	51.0978
63.6863	1.817	5000	52.9652
63.6863	1.817	6300	54.4771
63.6863	1.817	8000	55.6349
63.6863	1.817	10000	56.4727
63.6863	1.817	12500	58.1494
63.6863	1.817	16000	60.6498
63.6863	1.817	20000	65.5226
63.6863	1.817	25000	71.3688
63.6863	1.817	31500	76.0542
63.6863	1.817	40000	76.4143
63.6863	1.817	50000	72.398
63.6863	1.817	63000	69.8214
63.6863	1.817	80000	72.7395
63.6171	2.1351	500	29.7063
63.6171	2.1351	630	31.4161
63.6171	2.1351	800	33.449
63.6171	2.1351	1000	36.781
63.6171	2.1351	1250	39.3793
63.6171	2.1351	1600	43.6124
63.6171	2.1351	2000	46.056
63.6171	2.1351	2500	44.4835
63.6171	2.1351	3150	47.8497
63.6171	2.1351	4000	52.4375
63.6171	2.1351	5000	54.4102
63.6171	2.1351	6300	56.1425
63.6171	2.1351	8000	57.5299
63.6171	2.1351	10000	58.2645
63.6171	2.1351	12500	59.9079
63.6171	2.1351	16000	62.0735
63.6171	2.1351	20000	66.4637
63.6171	2.1351	25000	72.4224
63.6171	2.1351	31500	77.3187
63.6171	2.1351	40000	78.0643
63.6171	2.1351	50000	74.5328
63.6171	2.1351	63000	72.2025
63.6171	2.1351	80000	74.714
63.4898	3.1736	500	31.748
63.4898	3.1736	630	33.3653
63.4898	3.1736	800	35.1955
63.4898	3.1736	1000	38.7959
63.4898	3.1736	1250	41.4469
63.4898	3.1736	1600	45.4991
63.4898	3.1736	2000	47.6992
63.4898	3.1736	2500	46.8729
63.4898	3.1736	3150	50.211
63.4898	3.1736	4000	55.2818
63.4898	3.1736	5000	57.7516
63.4898	3.1736	6300	59.8779
63.4898	3.1736	8000	61.814
63.4898	3.1736	10000	62.7144
63.4898	3.1736	12500	64.2423
63.4898	3.1736	16000	65.7813
63.4898	3.1736	20000	68.9051
63.4898	3.1736	25000	74.3878
63.4898	3.1736	31500	79.4905
63.4898	3.1736	40000	80.7047
63.4898	3.1736	50000	78.5767
63.4898	3.1736	63000	77.3342
63.4898	3.1736	80000	79.5173
63.3048	4.7566	500	34.9346
63.3048	4.7566	630	35.8382
63.3048	4.7566	800	37.3511
63.3048	4.7566	1000	41.6457
63.3048	4.7566	1250	45.1282
63.3048	4.7566	1600	48.9618
63.3048	4.7566	2000	51.2058
63.3048	4.7566	2500	50.6078
63.3048	4.7566	3150	54.4447
63.3048	4.7566	4000	59.1678
63.3048	4.7566	5000	61.7712
63.3048	4.7566	6300	64.2397
63.3048	4.7566	8000	66.7591
63.3048	4.7566	10000	68.0133
63.3048	4.7566	12500	69.4841
63.3048	4.7566	16000	70.8874
63.3048	4.7566	20000	73.3114
63.3048	4.7566	25000	77.8493
63.3048	4.7566	31500	82.8881
63.3048	4.7566	40000	83.8923
63.3048	4.7566	50000	82.9972
63.3048	4.7566	63000	82.5595
63.3048	4.7566	80000	85.0075
63.0375	6.4328	500	37.4154
63.0375	6.4328	630	37.7238
63.0375	6.4328	800	39.4052
63.0375	6.4328	1000	43.7178
63.0375	6.4328	1250	46.851
63.0375	6.4328	1600	50.2054
63.0375	6.4328	2000	52.3543
63.0375	6.4328	2500	51.7854
63.0375	6.4328	3150	55.5738
